Epoch	Time(s)	mAP
1	155.52	0.0000
2	114.00	0.0000
3	113.83	0.0003
4	149.15	0.0017
5	114.65	0.0039
6	117.99	0.0062
7	162.66	0.0074
8	135.71	0.0087
9	109.41	0.0111
10	189.24	0.0120
11	157.35	0.0175
12	109.31	0.0059
13	115.61	0.0226
14	127.09	0.0238
15	109.81	0.0261
16	109.49	0.0152
17	136.35	0.0234
18	109.57	0.0185
19	116.76	0.0241
20	132.62	0.0195
21	109.67	0.0264
22	114.16	0.0255
23	111.78	0.0310
24	109.46	0.0292
25	194.56	0.0369
26	109.36	0.0346
27	109.76	0.0359
28	133.28	0.0408
29	117.68	0.0361
30	109.38	0.0419
31	135.80	0.0345
32	133.67	0.0403
33	109.34	0.0502
34	132.36	0.0567
35	119.96	0.0742
36	110.27	0.0783
37	125.07	0.0641
38	264.63	0.0711
39	149.33	0.0820
40	119.69	0.0880
41	121.84	0.0889
42	109.39	0.0869
43	128.32	0.1127
44	111.26	0.1081
45	111.07	0.1155
46	178.42	0.1317
47	119.02	0.1328
48	141.70	0.1505
49	117.23	0.1499
50	178.98	0.1575
51	132.40	0.0963
52	149.84	0.1370
53	136.41	0.1576
54	113.24	0.1471
55	139.64	0.0898
56	109.42	0.1753
57	122.08	0.1293
58	138.08	0.1699
59	118.67	0.1341
60	125.87	0.2034
61	111.53	0.1514
62	109.78	0.2176
63	109.74	0.2093
64	109.65	0.1877
65	138.82	0.2484
66	114.42	0.2485
67	109.90	0.1535
68	125.66	0.2043
69	114.61	0.1752
70	126.18	0.2561
71	177.31	0.2483
72	268.83	0.2677
73	130.51	0.2046
74	110.68	0.2201
75	127.98	0.1875
76	143.04	0.2594
77	151.99	0.2155
78	123.11	0.2853
79	111.14	0.3042
80	110.14	0.3067
81	111.91	0.3359
82	111.06	0.2533
83	118.86	0.3132
84	125.40	0.2722
85	132.82	0.3044
86	109.77	0.3086
87	127.55	0.2889
88	117.01	0.3289
89	113.24	0.1934
90	128.76	0.3407
91	115.12	0.3572
92	112.34	0.3246
93	127.65	0.3449
94	110.78	0.2733
95	110.21	0.3495
96	159.05	0.2644
97	114.21	0.3614
98	129.14	0.3559
99	112.69	0.3473
100	144.42	0.3691
101	110.22	0.3787
102	110.37	0.3357
103	119.74	0.3719
104	160.35	0.3631
105	111.95	0.3429
106	110.55	0.2737
107	130.31	0.3662
108	115.29	0.3870
109	113.68	0.4113
110	128.04	0.4555
111	141.52	0.4203
112	125.22	0.4220
113	137.40	0.3986
114	123.35	0.3252
115	116.24	0.4291
116	182.89	0.4329
117	110.32	0.2973
118	116.75	0.4527
119	115.30	0.3807
120	111.72	0.4392
121	158.33	0.3964
122	143.73	0.4061
123	132.45	0.4127
124	126.00	0.4420
125	110.42	0.4353
126	115.24	0.4580
127	165.57	0.4624
128	112.50	0.4575
129	111.21	0.4908
130	135.92	0.4396
131	140.75	0.4413
132	117.01	0.4674
133	132.98	0.4896
134	111.10	0.4906
135	114.72	0.4865
136	112.39	0.4562
137	175.05	0.4436
138	123.88	0.3550
139	138.96	0.4453
140	114.92	0.5140
141	114.45	0.4902
142	115.30	0.5157
143	110.78	0.5032
144	112.48	0.4930
145	113.82	0.5266
146	137.33	0.5097
147	114.76	0.5237
148	115.00	0.5118
149	113.89	0.4871
150	112.11	0.5226
151	111.27	0.5247
152	109.78	0.5379
153	122.44	0.5352
154	140.87	0.5450
155	118.09	0.5696
156	109.70	0.5471
157	109.68	0.5585
158	109.67	0.5392
159	109.52	0.5099
160	109.59	0.4547
161	109.73	0.5479
162	109.67	0.5300
163	109.68	0.5507
164	128.66	0.5396
165	109.65	0.5779
166	111.93	0.5275
167	109.50	0.5553
168	112.50	0.5480
169	109.60	0.5604
170	109.69	0.4916
171	109.63	0.5581
172	109.58	0.5748
173	109.93	0.5369
174	109.69	0.5639
175	109.84	0.5531
176	109.65	0.5657
177	109.75	0.5841
178	109.74	0.5720
179	165.28	0.5856
180	113.00	0.0157
181	112.45	0.5813
182	109.63	0.5872
183	110.18	0.5821
184	109.67	0.5679
185	115.18	0.6012
186	109.59	0.5810
187	109.52	0.5484
188	109.53	0.5659
189	109.37	0.5487
190	109.42	0.5887
191	109.44	0.5553
192	109.42	0.5981
193	109.37	0.5688
194	109.39	0.5864
195	109.42	0.6048
196	109.43	0.6066
197	109.44	0.5806
198	109.43	0.4757
199	109.40	0.6021
200	109.44	0.5736
